date,name
1995-01-01,신정
1995-01-02,신정
1995-01-30,설날
1995-01-31,설날
1995-02-01,설날
1995-03-01,삼일절
1995-04-05,식목일
1995-05-05,어린이날
1995-05-07,석가탄신일
1995-06-06,현충일
1995-06-27,제1회 전국동시지방선거
1995-07-17,제헌절
1995-08-15,광복절
1995-09-08,추석
1995-09-09,추석
1995-09-10,추석
1995-10-03,개천절
1995-12-25,기독탄신일
1996-01-01,신정
1996-01-02,신정
1996-02-18,설날
1996-02-19,설날
1996-02-20,설날
1996-03-01,삼일절
1996-04-05,식목일
1996-04-11,제15대 국회의원선거
1996-05-05,어린이날
1996-05-24,석가탄신일
1996-06-06,현충일
1996-07-17,제헌절
1996-08-15,광복절
1996-09-26,추석
1996-09-27,추석
1996-09-28,추석
1996-10-03,개천절
1996-12-25,기독탄신일
1997-01-01,신정
1997-01-02,신정
1997-02-07,설날
1997-02-08,설날
1997-02-09,설날
1997-03-01,삼일절
1997-04-05,식목일
1997-05-05,어린이날
1997-05-14,석가탄신일
1997-06-06,현충일
1997-07-17,제헌절
1997-08-15,광복절
1997-09-15,추석
1997-09-16,추석
1997-09-17,추석
1997-10-03,개천절
1997-12-18,제15대 대통령선거
1997-12-25,기독탄신일
1998-01-01,신정
1998-01-02,신정
1998-01-27,설날
1998-01-28,설날
1998-01-29,설날
1998-03-01,삼일절
1998-04-05,식목일
1998-05-03,석가탄신일
1998-05-05,어린이날
1998-06-04,제2회 전국동시지방선거
1998-06-06,현충일
1998-07-17,제헌절
1998-08-15,광복절
1998-10-03,개천절
1998-10-04,추석
1998-10-05,추석
1998-10-06,추석
1998-12-25,기독탄신일
1999-01-01,신정
1999-02-15,설날
1999-02-16,설날
1999-02-17,설날
1999-03-01,삼일절
1999-04-05,식목일
1999-05-05,어린이날
1999-05-22,석가탄신일
1999-06-06,현충일
1999-07-17,제헌절
1999-08-15,광복절
1999-09-23,추석
1999-09-24,추석
1999-09-25,추석
1999-10-03,개천절
1999-12-25,기독탄신일
2000-01-01,신정
2000-02-04,설날
2000-02-05,설날
2000-02-06,설날
2000-03-01,삼일절
2000-04-05,식목일
2000-04-13,제16대 국회의원선거
2000-05-05,어린이날
2000-05-11,석가탄신일
2000-06-06,현충일
2000-07-17,제헌절
2000-08-15,광복절
2000-09-11,추석
2000-09-12,추석
2000-09-13,추석
2000-10-03,개천절
2000-12-25,기독탄신일
2001-01-01,신정
2001-01-23,설날
2001-01-24,설날
2001-01-25,설날
2001-03-01,삼일절
2001-04-05,식목일
2001-05-01,석가탄신일
2001-05-05,어린이날
2001-06-06,현충일
2001-07-17,제헌절
2001-08-15,광복절
2001-09-30,추석
2001-10-01,추석
2001-10-02,추석
2001-10-03,개천절
2001-12-25,기독탄신일
2002-01-01,신정
2002-02-11,설날
2002-02-12,설날
2002-02-13,설날
2002-03-01,삼일절
2002-04-05,식목일
2002-05-05,어린이날
2002-05-19,석가탄신일
2002-06-06,현충일
2002-06-13,제3회 전국동시지방선거
2002-07-01,임시공휴일(월드컵)
2002-07-17,제헌절
2002-08-15,광복절
2002-09-20,추석
2002-09-21,추석
2002-09-22,추석
2002-10-03,개천절
2002-12-19,제16대 대통령선거
2002-12-25,기독탄신일
2003-01-01,신정
2003-01-31,설날
2003-02-01,설날
2003-02-02,설날
2003-03-01,삼일절
2003-04-05,식목일
2003-05-05,어린이날
2003-05-08,석가탄신일
2003-06-06,현충일
2003-07-17,제헌절
2003-08-15,광복절
2003-09-10,추석
2003-09-11,추석
2003-09-12,추석
2003-10-03,개천절
2003-12-25,기독탄신일
2004-01-01,신정
2004-01-21,설날
2004-01-22,설날
2004-01-23,설날
2004-03-01,삼일절
2004-04-05,식목일
2004-04-15,제17대 국회의원선거
2004-05-05,어린이날
2004-05-26,석가탄신일
2004-06-06,현충일
2004-07-17,제헌절
2004-08-15,광복절
2004-09-27,추석
2004-09-28,추석
2004-09-29,추석
2004-10-03,개천절
2004-12-25,기독탄신일
2005-01-01,신정
2005-02-08,설날
2005-02-09,설날
2005-02-10,설날
2005-03-01,삼일절
2005-04-05,식목일
2005-05-05,어린이날
2005-05-15,석가탄신일
2005-06-06,현충일
2005-07-17,제헌절
2005-08-15,광복절
